Название вакансии,название компании,зарплата,ссылка на вакансию
Инженер - программист станков с ЧПУ (г. Бердск),АО Бердский электромеханический завод,Инженер - программист станков с ЧПУ (г. Бердск),https://tomsk.hh.ru/vacancy/120731646?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист встраиваемых систем,Алабуга. Проектный менеджмент,Инженер-программист встраиваемых систем,https://tomsk.hh.ru/vacancy/127109771?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-разработчик FPGA,ООО ЛЭМЗ-Т,Инженер-разработчик FPGA,https://tomsk.hh.ru/vacancy/126982934?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-электроник,ГУ МЧС России по Томской области,Инженер-электроник,https://tomsk.hh.ru/vacancy/128249366?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,"Томская электронная компания , ООО НПП",Инженер-программист,https://tomsk.hh.ru/vacancy/127435150?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП,АО ТГОК Ильменит,Инженер-программист АСУ ТП,https://tomsk.hh.ru/vacancy/127916295?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист С++,"Компания ЭлеСи, Томск",Сейчас смотрит 1 человек,https://tomsk.hh.ru/vacancy/124849757?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Senior Backend Developer (Java/SQL),Rubius,Сейчас смотрят 3 человека,https://tomsk.hh.ru/vacancy/126911328?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Embedded разработчик / Linux,ООО СИНЕКТА,Сейчас смотрит 1 человек,https://tomsk.hh.ru/vacancy/128113022?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик Data Plane в сетевой ОС,ООО Бифорком Тек,Разработчик Data Plane в сетевой ОС,https://tomsk.hh.ru/vacancy/127854186?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер АСУ ТП,Latat,Инженер АСУ ТП,https://tomsk.hh.ru/vacancy/86638677?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик Control Plane в сетевой ОС,ООО Бифорком Тек,Сейчас смотрит 1 человек,https://tomsk.hh.ru/vacancy/127853588?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик Python в Control Plane в сетевой ОС,ООО Бифорком Тек,Разработчик Python в Control Plane в сетевой ОС,https://tomsk.hh.ru/vacancy/127852886?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист 1С,Эко-фабрика «Сибирский кедр»,Ведущий программист 1С,https://tomsk.hh.ru/vacancy/128298380?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-разработчик Linux в сетевой ОС,ООО Бифорком Тек,Инженер-разработчик Linux в сетевой ОС,https://tomsk.hh.ru/vacancy/127889085?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик SCADA,"Компания ЭлеСи, Томск",Сейчас смотрит 1 человек,https://tomsk.hh.ru/vacancy/127170371?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
